region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
western area,2014-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
western area rural,2014-10-20,21.0,689,648,0,41,1230,366,1919,318,0,37,77,2,4,,,,,,,,,30,7,41,,4,,0,,0,,98%,,,,
western area urban,2014-10-20,16.1,1282,1044,0,238,1456,496,2738,694,1,63,80,2,6,,,,,,,,,29,4,49,,3,,0,,0,,98%,,,,
34 military hospital,2014-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,2014-09-26,19,44,44,0,0,661,84,705,88,1,18,16,0,0,,,,,,,,,0,1,0,,0,,0,,0,,100%,654142,,,
bombali,2014-09-26,5.1,751,737,5,9,288,196,1039,89,1,6,10,0,0,,,,,,,,,0,16,18,,11,,0,,1,,98%,494139,,,
bonthe,2014-09-26,100,57,57,0,0,32,1,89,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-26,39.7,167,167,0,0,1169,529,1606,280,32,18,210,35,4,676,225,126,56,6,3,1,,30,0,0,,0,,0,,0,,100%,465048,,,
kambia,2014-09-26,8.3,160,160,0,0,12,12,162,5,0,1,1,0,0,,,,,,,,,0,0,60,,0,,0,,0,,100%,341690,,,
kenema,2014-09-26,54,476,468,0,8,2317,426,2788,584,0,33,230,0,4,504,248,288,27,1,0,0,,34,3,4,,5,,0,,5,,98%,653013,,,
kenema (ifrc),2014-09-26,,,,,,,,,,,,,,,31.0,11.0,4.0,16.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-26,0.0,,,,,,0.0,,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-26,0,125,113,12,0,140,18,265,35,1,40,2,0,1,,,,,,,,,0,0,7,,0,,0,,0,,99%,325003,,,
moyamba,2014-09-26,13,175,175,0,0,178,54,353,42,0,12,7,0,0,,,,,,,,,0,3,0,,4,,0,,3,,100%,278119,,,
police training school,2014-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port loko,2014-09-26,7.4,1933,1809,50,74,500,231,2433,91,1,10,17,1,1,,,,,,,,,0,0,82,,0,,0,,0,,98%,557978,,,
pujehun,2014-09-26,6.3,169,169,0,0,240,16,409,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-26,7.7,1159,1159,0,0,217,65,1376,40,0,4,5,0,0,,,,,,,,,20,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-26,3.4,271,270,1,0,129,117,400,112,0,9,4,0,0,,,,,,,,,15,0,0,,0,,0,,0,,100%,263619,,,
western area urban,2014-09-26,4.6,435,435,0,0,604,195,989,298,1,14,9,1,1,,,,,,,,,4,0,0,,1,,0,,0,,100%,1040888,,,
bo,2014-10-25,36.0,,,,,,162.0,,172.0,1.0,60.0,59.0,43.0,8.0,,,,,,,,6.0,,3.0,,,13.0,,0.0,,2.0,,,654142.0,1.0,,
bombali,2014-10-25,28.0,,,,,,497.0,,283.0,6.0,75.0,137.0,19.0,22.0,,,,,,,,9.0,,13.0,,,10.0,,3.0,,0.0,,,494139.0,5.0,,
bonthe,2014-10-25,50.0,,,,,,2.0,,2.0,0.0,3.0,1.0,1.0,1.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,168729.0,0.0,,
kailahun,2014-10-25,41.0,,,,,,551.0,,303.0,32.0,18.0,223.0,35.0,4.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,465048.0,0.0,,
kambia,2014-10-25,30.0,,,,,,30.0,,17.0,0.0,4.0,9.0,9.0,6.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,341690.0,0.0,,
kenema,2014-10-25,52.0,,,,,,483.0,,767.0,0.0,77.0,249.0,0.0,4.0,,,,,,,,4.0,,4.0,,,9.0,,0.0,,1.0,,,653013.0,1.0,,
koinadugu,2014-10-25,78.0,,,,,,9.0,,38.0,32.0,4.0,7.0,32.0,0.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,335471.0,0.0,,
kono,2014-10-25,47.0,,,,,,38.0,,84.0,1.0,56.0,18.0,19.0,2.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,325003.0,0.0,,
moyamba,2014-10-25,37.0,,,,,,90.0,,76.0,1.0,26.0,33.0,20.0,9.0,,,,,,,,1.0,,2.0,,,2.0,,0.0,,1.0,,,278119.0,0.0,,
port loko,2014-10-25,15.0,,,,,,491.0,,231.0,4.0,23.0,74.0,4.0,52.0,,,,,,,,12.0,,5.0,,,44.0,,3.0,,0.0,,,557978.0,2.0,,
pujehun,2014-10-25,54.0,,,,,,26.0,,11.0,0.0,7.0,14.0,2.0,3.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,335574.0,0.0,,
tonkolili,2014-10-25,25.0,,,,,,180.0,,79.0,4.0,34.0,45.0,21.0,4.0,,,,,,,,1.0,,7.0,,,1.0,,1.0,,4.0,,,434937.0,2.0,,
western area rural,2014-10-25,18.0,,,,,,442.0,,385.0,0.0,37.0,81.0,2.0,12.0,,,,,,,,15.0,,21.0,,,23.0,,0.0,,0.0,,,,14.0,,
western area urban,2014-10-25,15.6,,,,,,559.0,,793.0,1.0,64.0,87.0,4.0,8.0,,,,,,,,16.0,,15.0,,,21.0,,2.0,,0.0,,,,8.0,,
bo,2014-09-16,20.8,167,167,0,0,514,77,681,85,1,12,16,0,0,,,,,,,,,0,1,0,,1,,0,,1,,100.00%,654142,,,
bombali,2014-09-16,5.3,476,461,10,4,235,113,711,30,1,5,6,0,0,,,,,,,,,16,0,31,,0,,0,,0,,99.00%,494139,,,
bonthe,2014-09-16,100,57,57,0,0,27,1,84,1,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,1,,100.00%,168729,,,
kailahun,2014-09-16,35.4,156,156,0,0,1120,551,1474,288,32,18,195,35,4,469,240,249,38,3,4,0,,0,22,32,,8,,0,,0,,100.00%,465048,,,
kambia,2014-09-16,33.3,85,85,0,0,12,3,98,5,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,341690,,,
kenema,2014-09-16,55.9,610,600,4,10,1976,410,2618,495,0,28,229,0,4,5,2,0,3,0,0,0,,36,1,41,,3,,0,,2,,99.00%,653013,,,
kenema (ifrc),2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koinadugu,2014-09-16,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-16,0,112,110,2,0,80,15,192,26,1,39,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,325003,,,
moyamba,2014-09-16,35.3,55,55,0,0,149,17,206,37,0,2,6,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,278119,,,
port loko,2014-09-16,10.3,1487,1345,13,129,258,155,1745,46,1,4,16,1,1,,,,,,,,,0,0,36,,0,,0,,0,,91.00%,557978,,,
pujehun,2014-09-16,10,138,138,0,0,195,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,335574,,,
tonkolili,2014-09-16,5.7,371,371,0,0,182,35,553,30,0,2,2,0,0,,,,,,,,,12,3,0,,1,,0,,0,,100.00%,434937,,,
western area rural,2014-09-16,3.6,213,213,0,0,104,55,317,62,0,7,2,0,0,,,,,,,,,63,0,10,,0,,0,,1,,100.00%,263619,,,
western area urban,2014-09-16,4.7,455,394,19,42,443,129,898,189,1,8,6,1,1,,,,,,,,,7,2,60,,5,,0,,0,,91.00%,1040888,,,
bo,2014-08-14,8.7,189,162,2,27,69,23,258,59,1,1,2,0,0,,,,,,,,,2,0,22,,0,,0,,0,,86%,"654,142",,,
bombali,2014-08-14,14.3,151,142,0,9,16,7,161,11,1,1,1,0,0,,,,,,,,,0,0,5,,1,,0,,0,,94%,"494,139",,,
bonthe,2014-08-14,0,0,0,0,0,26,1,26,0,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"168,729",,,
kailahun,2014-08-14,41.1,337,336,0,1,776,389,1063,206,32,0,160,32,2,348,111,141,41,2,4,1,,24,0,6,,0,,0,,0,,99%,"465,048",,,
kambia,2014-08-14,0,13,13,0,0,0,1,13,1,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"341,690",,,
kenema,2014-08-14,41.1,541,490,0,51,796,270,1439,299,2,1,111,0,1,271,157,60,39,3,3,0,,21,8,53,,18,,2,,0,,91%,"653,013",,,
koinadugu,2014-08-14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"335,471",,,
kono,2014-08-14,0,0,0,0,0,38,1,38,15,1,33,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"325,003",,,
moyamba,2014-08-14,50,79,79,0,0,0,6,79,12,0,0,3,0,0,,,,,,,,,0,1,6,,0,,0,,0,,100%,"278,119",,,
port loko,2014-08-14,3.8,483,465,3,15,7,26,483,8,1,0,1,1,1,,,,,,,,,0,2,12,,1,,0,,0,,96%,"557,978",,,
pujehun,2014-08-14,0,46,46,0,14,11,3,71,2,0,0,0,0,0,,,,,,,,,0,0,14,,0,,0,,0,,100%,"335,574",,,
tonkolili,2014-08-14,0,8,8,0,0,11,2,19,10,0,0,0,0,0,,,,,,,,,11,0,0,,0,,0,,0,,100%,"434,937",,,
western area rural,2014-08-14,0,36,36,0,0,0,3,36,7,0,0,0,0,0,,,,,,,,,0,2,10,,1,,0,,0,,100%,"263,619",,,
western area urban,2014-08-14,13.3,385,385,2,0,102,15,487,63,1,1,2,1,1,,,,,,,,,0,0,51,,5,,0,,0,,99%,"1,040,888",,,
bo,2014-09-15,21.1,167,167,0,0,514,76,681,84,1,11,16,0,0,,,,,,,,,16,0,18,,0,,0,,0,,100.00%,654142,,,
bombali,2014-09-15,5.3,461,457,4,0,219,113,680,30,1,4,6,0,0,,,,,,,,,13,0,16,,0,,0,,0,,99.00%,494139,,,
bonthe,2014-09-15,100,64,64,0,0,32,1,84,1,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,168729,,,
kailahun,2014-09-15,36.1,166,165,1,0,1120,529,1458,280,32,18,191,35,4,540,192,100,41,26,2,5,,4,1,16,,7,,0,,0,,100.00%,465048,,,
kambia,2014-09-15,33.3,85,85,0,0,12,3,85,5,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,341690,,,
kenema,2014-09-15,55,656,656,0,0,1940,409,2577,489,0,29,225,0,4,466,236,249,39,3,2,20,,71,1,2,,3,,0,,0,,100.00%,653013,,,
kenema (ifrc),2014-09-15,,,,,,,,,,,,,,,5.0,2.0,0.0,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-15,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-15,0,112,105,7,0,80,15,192,26,1,39,2,0,1,,,,,,,,,0,0,0,,1,,0,,2,,100.00%,325003,,,
moyamba,2014-09-15,35.3,54,54,0,0,164,17,218,37,0,2,6,0,0,,,,,,,,,0,0,0,,9,,0,,0,,100.00%,278119,,,
port loko,2014-09-15,10.3,1415,1315,6,94,258,155,1673,46,1,4,16,1,1,,,,,,,,,0,12,31,,7,,0,,0,,93.00%,557978,,,
pujehun,2014-09-15,10,128,128,0,0,205,10,333,4,0,1,1,0,0,,,,,,,,,10,0,0,,0,,0,,0,,100.00%,335574,,,
tonkolili,2014-09-15,6.3,451,450,1,0,182,32,593,29,0,2,2,0,0,,,,,,,,,0,0,40,,1,,0,,0,,100.00%,434937,,,
western area rural,2014-09-15,3.6,255,255,0,0,41,55,266,62,0,6,2,0,0,,,,,,,,,0,2,13,,5,,0,,2,,100.00%,263619,,,
western area urban,2014-09-15,3.9,402,402,0,0,436,127,828,184,1,8,5,1,1,,,,,,,,,0,13,22,,10,,0,,0,,100.00%,1040888,,,
bo,2014-10-16,41,238,237,1,0,661,138,921,131,1,46,56,43,3,72,21,29,22,1,1,2,,0,0,34,,1,,0,,1,,100%,654142,,,
bombali,2014-10-16,29,1661,1648,4,9,488,435,2149,232,1,64,124,14,18,,,,,,,,,17,32,30,,17,,0,,3,,98%,494139,,,
bonthe,2014-10-16,50,20,20,0,0,105,2,125,1,0,3,1,1,1,,,,,,,,,15,0,20,,0,,0,,0,,100%,168729,,,
hastings-f/town,2014-10-16,,,,,,,,,,,,,,,274.0,82.0,79.0,112.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
kailahun,2014-10-16,41,424,424,0,0,1688,541,2112,285,32,18,219,35,4,830,240,188,40,11,1,6,,0,4,34,,1,,0,,0,,100%,465048,,,
kambia,2014-10-16,36,260,260,0,0,152,25,412,13,0,3,9,9,6,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-10-16,52,333,288,0,45,2647,462,2980,693,0,61,240,0,4,,,,,,,,,0,0,0,,0,,0,,0,,99%,653013,,,
kenema (ifrc),2014-10-16,,,,,,,,,,,,,,,114.0,43.0,24.0,44.0,10.0,1.0,0.0,,,,,,,,,,,,,,,,
kenema (kgh),2014-10-16,,,,,,,,,,,,,,,504.0,254.0,307.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-10-16,0.0,,,,,,2.0,,35.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-16,53,293,281,4,0,235,34,538,78,1,53,18,19,2,,,,,,,,,0,0,0,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-16,36,379,379,0,0,486,80,867,59,0,22,29,19,6,,,,,,,,,0,0,4,,0,,0,,0,,100%,278119,,,
port loko,2014-10-16,14,3493,3444,13,36,589,427,4082,159,1,22,61,1,49,,,,,,,,,0,2,88,,0,,0,,0,,98%,557978,,,
pujehun,2014-10-16,50,380,380,0,0,469,24,949,7,0,5,12,2,3,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-10-16,27,1718,1718,0,0,712,138,2430,62,0,24,37,17,3,,,,,,,,,32,0,50,,0,,0,,0,,100%,434937,,,
western area,2014-10-16,39.0,,,,,,750.0,,867.0,1.0,92.0,140.0,4.0,10.0,,,,,,,,,,17.0,,,13.0,,0.0,,0.0,,,1304507.0,,,
western area rural,2014-10-16,,907,790,0,117,923,,1830,,,,,,,,,,,,,,,0,,67,,,,,,,,98%,,,,
western area urban,2014-10-16,,1032,804,0,228,1171,,2203,,,,,,,,,,,,,,,2,,152,,,,,,,,98%,,,,
bo,2014-09-05,25.8,150,148,0,2,442,62,592,80,1,4,16,0,0,,,,,,,,,0,0,0,,0,,0,,1,,98%,654142,,,
bombali,2014-09-05,11.5,406,399,5,2,116,52,552,20,1,1,6,0,0,,,,,,,,,0,0,6,,0,,0,,0,,99%,494139,,,
bonthe,2014-09-05,100,6,6,0,0,26,1,32,0,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-05,35.9,153,149,4,1,1093,504,1381,255,32,16,181,35,4,424,201,191,71,2,1,0,,0,6,2,,1,,0,,0,,100%,465048,,,
kambia,2014-09-05,0,18,18,0,0,12,1,30,3,0,0,0,0,0,,,,,,,,,0,0,18,,0,,0,,0,,100%,341690,,,
kenema,2014-09-05,51.1,538,493,1,45,1696,372,2227,422,0,22,190,0,4,365,180,69,,,,,,46,1,26,,1,,0,,2,,92%,653013,,,
koinadugu,2014-09-05,0.0,,,,,,0.0,,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-05,0,95,88,7,0,38,9,133,21,1,34,2,0,1,,,,,,,,,0,0,27,,0,,0,,0,,100%,325003,,,
moyamba,2014-09-05,50,75,73,2,0,121,12,196,17,0,1,6,0,0,,,,,,,,,7,0,43,,0,,0,,0,,100%,278119,,,
port loko,2014-09-05,3.4,1069,997,14,59,88,89,1157,23,1,3,3,1,1,,,,,,,,,0,11,57,,2,,0,,0,,95%,557978,,,
pujehun,2014-09-05,12.5,54,54,0,0,154,8,208,3,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-05,10.5,311,310,1,0,138,19,449,19,0,1,2,0,0,,,,,,,,,20,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-05,5.1,156,156,0,0,0,39,156,27,0,2,2,0,0,,,,,,,,,0,3,6,,5,,0,,0,,100%,263619,,,
western area urban,2014-09-05,4.5,339,339,0,0,385,66,724,121,1,5,3,1,1,,,,,,,,,0,2,3,,15,,0,,0,,100%,1040888,,,
bo,2014-09-10,23.9,136,86,8,0,456,67,592,81,1,7,16,0,0,,,,,,,,,42,2,0,,0,,0,,0,,69%,654142,,,
bombali,2014-09-10,8.2,391,384,4,3,176,73,567,24,1,1,6,0,0,,,,,,,,,6,0,7,,0,,0,,0,,99%,494139,,,
bonthe,2014-09-10,100,57,57,0,0,27,1,84,1,0,0,1,0,0,,,,,,,,,0,0,52,,1,,0,,0,,100%,168729,,,
kailahun,2014-09-10,36,155,155,0,0,1105,508,1416,256,32,18,183,35,4,441,217,221,61,0,7,10,,8,0,19,,0,,0,,0,,100%,465048,,,
kambia,2014-09-10,50,56,55,1,0,12,2,68,3,0,0,1,0,0,,,,,,,,,0,1,38,,0,,0,,0,,100%,341690,,,
kenema,2014-09-10,52.2,589,578,0,11,1821,395,2483,460,0,24,206,0,4,651,184,78,54,9,1,5,,11,1,52,,9,,0,,3,,98%,653013,,,
koinadugu,2014-09-10,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-10,0,77,71,6,0,80,14,157,23,1,36,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,325003,,,
moyamba,2014-09-10,42.9,57,51,6,0,149,14,206,22,0,2,6,0,0,,,,,,,,,12,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-09-10,13.4,1297,1155,3,139,234,119,1514,32,1,5,16,1,1,,,,,,,,,51,14,97,,1,,0,,0,,89%,557978,,,
pujehun,2014-09-10,10,137,137,0,0,195,10,333,4,0,1,1,0,0,,,,,,,,,41,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-10,7.7,363,363,0,0,170,26,533,21,0,1,2,0,0,,,,,,,,,17,1,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-10,4.1,181,181,0,0,0,49,183,42,0,3,2,0,0,,,,,,,,,0,3,0,,3,,0,,1,,100%,263619,,,
western area urban,2014-09-10,3.4,331,331,0,0,436,89,767,153,1,7,3,1,1,,,,,,,,,0,4,13,,5,,0,,1,,100%,1040888,,,
34 military hospital,2014-09-20,,,,,,,,,,,,,,,67.0,23.0,26.0,8.0,8.0,3.0,0.0,,,,,,,,,,,,,,,,
bo,2014-09-20,20.8,141,141,0,0,540,77,681,86,1,17,16,0,0,,,,,,,,,11,0,0,,0,,0,,0,,100%,"654,142",,,
bombali,2014-09-20,4.1,636,627,9,0,281,148,917,48,1,9,6,0,0,,,,,,,,,18,26,74,,8,,0,,3,,98%,"494,139",,,
bonthe,2014-09-20,100,57,57,0,0,32,1,89,1,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"168,729",,,
kailahun,2014-09-20,39.7,166,166,0,0,1120,529,1458,280,32,18,210,35,4,622,211,11,39,10,3,4,,4,0,0,,0,,0,,0,,100%,"465,048",,,
kambia,2014-09-20,25,106,99,7,0,12,4,118,5,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"341,690",,,
kenema,2014-09-20,55.3,524,509,0,15,2109,414,2638,511,0,29,229,0,4,498,241,263,49,4,1,3,,36,1,12,,3,,0,,4,,97%,"653,013",,,
kenema (ifrc),2014-09-20,,,,,,,,,,,,,,,16.0,2.0,0.0,14.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-20,0,,,,,,0,,24,0,0,0,0,0,,,,,,,,,,0,,,0,,0,,0,,,"335,471",,,
kono,2014-09-20,0,78,76,2,0,140,18,218,30,1,39,2,0,1,,,,,,,,,60,2,0,,1,,0,,1,,100%,"325,003",,,
moyamba,2014-09-20,17.1,54,54,0,0,178,41,232,37,0,5,7,0,0,,,,,,,,,0,8,0,,0,,0,,1,,100%,"278,119",,,
police training school,2014-09-20,,,,,,,,,,,,,,,26.0,0.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
port loko,2014-09-20,9,1532,1532,0,0,258,177,1790,55,1,4,16,1,1,,,,,,,,,0,1,0,,1,,0,,0,,98%,"557,978",,,
pujehun,2014-09-20,10,108,108,1,0,225,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"335,574",,,
tonkolili,2014-09-20,4.5,1174,1174,0,0,197,44,1371,33,0,2,2,0,0,,,,,,,,,0,0,608,,0,,0,,0,,100%,"434,937",,,
western area rural,2014-09-20,3.9,268,234,0,34,114,77,382,79,0,7,3,0,0,,,,,,,,,0,13,0,,11,,0,,0,,100%,"263,619",,,
western area urban,2014-09-20,4.5,470,450,4,26,484,156,954,228,1,11,7,1,1,,,,,,,,,10,5,41,,17,,0,,0,,100%,"1,040,888",,,
bo,2014-08-23,6.1,159,156,1,2,191,33,350,72,1,0,2,0,0,,,,,,,,,0,0,2,,1,,0,,0,,99%,654142,,,
bombali,2014-08-23,5.9,,,,,,17.0,,16.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,494139.0,,,
bonthe,2014-08-23,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-23,42.1,,,,,,428.0,,224.0,32.0,14.0,180.0,35.0,4.0,368.0,145.0,171.0,47.0,7.0,3.0,4.0,,,11.0,,,3.0,,0.0,,0.0,,,465048.0,,,
kambia,2014-08-23,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-23,47.1,448,418,3,27,1180,308,1586,380,0,4,145,0,1,294,180,69,-,-,-,-,,64,5,22,,0,,0,,3,,100%,653013,,,
koinadugu,2014-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-23,0.0,0.0,0.0,0.0,0.0,38.0,1.0,53.0,17.0,1.0,33.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,325003.0,,,
moyamba,2014-08-23,44.4,15.0,0.0,0.0,0.0,17.0,9.0,132.0,15.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,278119.0,,,
port loko,2014-08-23,1.9,588,553,6,29,59,54,642,16,1,1,1,1,1,,,,,,,,,12,7,11,,2,,0,,1,,100%,557978,,,
pujehun,2014-08-23,0,21,21,0,0,62,5,84,2,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-08-23,0,202,201,1,0,11,10,213,12,0,0,1,0,0,,,,,,,,,0,0,194,,0,,0,,0,,100%,434937,,,
western area rural,2014-08-23,0.0,,,,,,11.0,,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,263619.0,,,
western area urban,2014-08-23,7.7,,,,,,26.0,,78.0,1.0,0.0,2.0,1.0,1.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,1040888.0,,,
bo,2014-08-18,8.3,212,210,1,1,110,24,322,62,1,1,2,0,0,,,,,,,,,0,0,56,,0,,0,,1,,99%,"654,142",,,
bombali,2014-08-18,14.3,203,195,0,8,36,7,239,11,5,1,1,0,0,,,,,,,,,5,0,3,,0,,4,,3,,96%,"494,139",,,
bonthe,2014-08-18,0,0,0,0,0,26,1,26,0,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"168,729",,,
kailahun,2014-08-18,42.6,374,372,4,2,871,406,1145,212,32,14,173,32,2,357,130,154,48,2,6,0,,37,5,0,,0,,0,,14,,100%,"465,048",,,
kambia,2014-08-18,0,12,0,0,0,0,1,12,1,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"341,690",,,
kenema,2014-08-18,46.4,553,508,1,44,957,280,1477,324,7,15,130,0,1,282,173,66,33,0,1,1,,43,0,0,,0,,7,,14,,92%,"653,013",,,
koinadugu,2014-08-18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"335,471",,,
kono,2014-08-18,0,0,0,0,0,38,1,38,16,1,33,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"325,003",,,
moyamba,2014-08-18,50,121,121,0,0,9,6,121,12,2,2,3,0,0,,,,,,,,,0,0,29,,0,,2,,2,,100%,"278,119",,,
port loko,2014-08-18,3.6,571,550,10,11,30,28,571,12,3,3,1,1,1,,,,,,,,,23,0,78,,0,,2,,3,,98%,"557,978",,,
pujehun,2014-08-18,0,48,48,0,0,23,3,71,2,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"335,574",,,
tonkolili,2014-08-18,0,8,8,0,0,11,2,19,10,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"434,937",,,
western area rural,2014-08-18,0,41,41,0,0,0,4,41,9,0,3,0,0,0,,,,,,,,,0,0,5,,0,,0,,3,,100%,"263,619",,,
western area urban,2014-08-18,10,367,367,0,0,132,20,499,70,1,0,2,1,1,,,,,,,,,0,0,3,,0,,0,,0,,100%,"1,040,888",,,
bo,2014-08-31,33.3,283,282,0,1,298,45,581,76,1,1,15,0,0,,,,,,,,,0,6,0,,1,,0,,0,,99%,654142,,,
bombali,2014-08-31,15.4,384,377,6,1,100,39,484,19,1,1,6,0,0,,,,,,,,,0,4,8,,0,,0,,1,,99%,494139,,,
bonthe,2014-08-31,100,6,6,0,0,26,1,32,0,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-08-31,39,246,246,0,0,1017,461,1287,245,32,15,180,35,4,399,177,175,64,4,4,0,,0,4,35,,0,,0,,0,,100%,465048,,,
kambia,2014-08-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
